[2026-06-14 20:18:38] =======================================================
[2026-06-14 20:18:38] YFINANCE MISSING DATA POPULATION
[2026-06-14 20:18:38] Job ID:    917471b2
[2026-06-14 20:18:38] Start:     2026-06-14 20:18:38
[2026-06-14 20:18:38] Dry Run:   False
[2026-06-14 20:18:38] Test Mode: True (first 50 tickers only)
[2026-06-14 20:18:38] Force All: False (re-fetch all tickers)
[2026-06-14 20:18:38] =======================================================
[2026-06-14 20:18:38] PostgreSQL connection established.
[2026-06-14 20:18:38] Loading tickers with missing yfinance data...
[2026-06-14 20:18:38] [TEST MODE] Limited to first 50 tickers.
[2026-06-14 20:18:38] Found 50 tickers with missing yfinance data.
[2026-06-14 20:18:38] Checking for Questionable stocks due to missing market cap...
[2026-06-14 20:18:39]   Added 1180 Questionable tickers with missing market cap.
[2026-06-14 20:18:39] Total tickers to process: 1190
[2026-06-14 20:18:39] Starting yfinance fetch...
[2026-06-14 20:25:03]   [OK] BTCW — price: 67.24, mktcap: N/A
[2026-06-14 20:25:05]   [OK] BULLW — price: 2.055, mktcap: N/A
[2026-06-14 20:25:07]   [OK] BULZ — price: 40.22, mktcap: N/A
[2026-06-14 20:25:08]   [OK] BWBBP — price: 20.03, mktcap: 833,549,824
[2026-06-14 20:25:10]   [OK] BWET — price: 199.9, mktcap: N/A
[2026-06-14 20:25:12]   [OK] BWOW — price: 14.344, mktcap: N/A
[2026-06-14 20:25:13]   [OK] BWVTF — price: 115.0, mktcap: N/A
[2026-06-14 20:25:15]   [OK] BYNOU — price: 12.79, mktcap: 121,270,280
[2026-06-14 20:25:17]   [OK] BYNOW — price: 0.0889, mktcap: N/A
[2026-06-14 20:25:19]   [OK] BZFDW — price: 0.0262, mktcap: N/A
[2026-06-14 20:25:20]   [NO PRICE] yfinance has no price data for CAES
[2026-06-14 20:25:22]   [NO PRICE] yfinance has no price data for CAII
[2026-06-14 20:25:24]   [OK] CAIIU — price: 9.97, mktcap: N/A
[2026-06-14 20:25:25]   [NO PRICE] yfinance has no price data for CAPI
[2026-06-14 20:25:27]   [OK] CAPNR — price: 0.268, mktcap: N/A
[2026-06-14 20:25:29]   [OK] CAPNU — price: 11.29, mktcap: 60,963,124
[2026-06-14 20:25:30]   [OK] CAQUU — price: 10.01, mktcap: 250,216,848
[2026-06-14 20:25:32]   [OK] CAQUW — price: 0.32, mktcap: N/A
[2026-06-14 20:25:34]   [OK] CARD — price: 2.62, mktcap: N/A
[2026-06-14 20:25:36]   [OK] CARU — price: 23.4834, mktcap: N/A
[2026-06-14 20:25:37]   [NO PRICE] yfinance has no price data for CBAI
[2026-06-14 20:25:39]   [OK] CCAQU — price: 11.5, mktcap: 232,593,136
[2026-06-14 20:25:41]   [OK] CCAQW — price: 0.4, mktcap: N/A
[2026-06-14 20:25:42]   [OK] CCGWW — price: 0.02, mktcap: N/A
[2026-06-14 20:25:44]   [OK] CCID — price: 25.21, mktcap: N/A
[2026-06-14 20:25:46]   [OK] CCIIU — price: 10.45, mktcap: 361,088,512
[2026-06-14 20:25:47]   [OK] CCIIW — price: 0.75, mktcap: 4,743,750
[2026-06-14 20:25:49]   [OK] CCIXU — price: 12.0, mktcap: 440,282,208
[2026-06-14 20:25:51]   [OK] CCIXW — price: 0.3831, mktcap: 14,377,606
[2026-06-14 20:25:53]   [NO PRICE] yfinance has no price data for CCLV
[2026-06-14 20:25:54]   [OK] CCNEP — price: 24.725, mktcap: 511,450,304
[2026-06-14 20:25:56]   [OK] CCXIU — price: 10.31, mktcap: 573,856,896
[2026-06-14 20:25:58]   [OK] CCXIW — price: 1.19, mktcap: N/A
[2026-06-14 20:25:59]   [OK] CDAUF — price: 10.18, mktcap: 57,120,276
[2026-06-14 20:26:00]   Batch 5 complete. Pausing 3.0s...
[2026-06-14 20:26:03]   Batch 6/24 (50 tickers)...
[2026-06-14 20:26:04]   [NO PRICE] yfinance has no price data for CDAWF
[2026-06-14 20:26:06]   [OK] CDROW — price: 0.8496, mktcap: N/A
[2026-06-14 20:26:08]   [OK] CDTTW — price: 0.0126, mktcap: N/A
[2026-06-14 20:26:09]   [OK] CEFD — price: 18.879, mktcap: N/A
[2026-06-14 20:26:11]   [OK] CGCTU — price: 12.01, mktcap: 413,948,800
[2026-06-14 20:26:13]   [OK] CGCTW — price: 1.4, mktcap: N/A
[2026-06-14 20:26:14]   [OK] CHARR — price: 0.0808, mktcap: N/A
[2026-06-14 20:26:16]   [OK] CHARU — price: 10.8, mktcap: 115,347,448
[2026-06-14 20:26:18]   [OK] CHECU — price: 10.29, mktcap: 177,162,656
[2026-06-14 20:26:20]   [OK] CHECW — price: 0.165, mktcap: N/A
[2026-06-14 20:26:21]   [OK] CHPGR — price: 0.145, mktcap: N/A
[2026-06-14 20:26:23]   [OK] CHPGU — price: 10.48, mktcap: 104,807,568
[2026-06-14 20:26:25]   [NO PRICE] yfinance has no price data for CILFY
[2026-06-14 20:26:26]   [OK] CIMN — price: 25.07, mktcap: N/A
[2026-06-14 20:26:28]   [OK] CIMO — price: 25.21, mktcap: N/A
[2026-06-14 20:26:30]   [OK] CIMP — price: 24.95, mktcap: N/A
[2026-06-14 20:26:31]   [NO PRICE] yfinance has no price data for CLBZ
[2026-06-14 20:26:33]   [OK] CLNK — price: 14.31, mktcap: N/A
[2026-06-14 20:26:35]   [OK] CLRRF — price: 0.06, mktcap: N/A
[2026-06-14 20:26:37]   [NO PRICE] yfinance has no price data for CLYD
[2026-06-14 20:26:38]   [OK] CMCUF — price: 2.0, mktcap: 12,023,677
[2026-06-14 20:26:40]   [NO PRICE] yfinance has no price data for CMCWF
